english,japanese,parts_of_speech
corresponding,対応する,Verb
schematic,図解,Noun
allowance,手当,Noun
scholarship,奨学金,Noun
bloating,太り過ぎた,Noun
proper posture,正しい姿勢,Noun
whistle,ホイッスル,Verb
villains,悪役,Noun
In Japanese old times,日本では昔,Phrase
burglars,強盗,Noun
intruders,侵入者,Noun
vengeful,復讐心のある,Adjective
funeral,葬儀,Noun
casket,棺桶,Noun
establishments,事業者,Noun
fortune,運勢,Noun
right paw,右足,Noun
moody person,気分屋,Noun
revive,復活,Verb
vulgar,下品な,Adjective
pimples,にきび,Noun
diabetes,糖尿病,Noun
sticky,ネバネバしている,Adjective
minor,未成年,Noun
villains,悪役,Noun
fetish,フェチ,Noun
reputation,評判,Noun
arrested,逮捕された,Verb
innocent,潔白な,Adjective
accidentally reset,誤ってリセット,Noun
acquaintance,知り合い,Noun
willing,喜んで,Adjective
I'm stuck thinking of you,私はあなたのことを考えることをやめられない。 
as someone else,他の人として,Noun
frightened,おびえた,Adjective
footsteps,足音:足跡,Noun
toward,に向かって,Preposition
itchiness,かゆみ,Noun
awful,ひどい,Adjective
unpleasant,不快,Adjective
conscious,意識して,Adjective
worth,価値,Noun
get over,乗り越える,Verb
Certificate,証明書,Noun
unconscious,無意識,Adjective
strategy,戦略,Noun
antonyms,反意語,Noun
hoard, 買いだめ,Verb
have rally,集会,Noun
herd,群,Noun
discipline,しつけ,Noun
firmer,しっかりした,Adjective
former,前者,Noun
occurred,発生した,Verb
accord, 協心,Noun 
clingy,しつこい,Adjective
pity,哀れみ,Noun
literature,文献,Noun
leftover everything,残ったもの,Noun
have a blast,楽しく過ごす,Phrase
You are the apple of my eye,溺愛している人や物,Phrase
brochure,パンフレット,Noun
guidance counselor,進路指導教員,Noun
monitor,制御する,Verb
dropped by, 立ち寄る,Verb
be college material,大学進学に向いている,Adjective
discourage,がっかりする,Verb
I'm disgusting,ムカつく,Phrase
sweep,一掃,Verb
The year went by, 時が経つ,Verb
now and then,時々,Adverb
weird,変な,Adjective
be capable of,～の才能がある,Verb
succeeding,成功する,Noun
hit the books,猛勉強する,Phrase
big deal,大事件,Noun
throw cold water on,けちをつける,Phrase
atheist,無心論者,Noun
hypocrite,偽善者,Noun
bullying,いじめ,Noun
encounter,出会い,Noun
abuse,乱用,Noun
forbid,禁じる,Verb
literature,文学,Noun
The time went by since I join here,ここに加わってから時間が経ちました。,Phrase
hassle,めんどくさい,Adjective
troublesome,めんどくさい,Adjective
bothersome,めんどくさい,Adjective
tiresome,うんざりする,Adjective 
What's difference between A and B,AとBの違いは何ですか?, Phrase
assume,仮定する,Verb
all over the place,至る所に,Phrase
get one's hands on something,をつかまえる,Phrase
die down,次第に消える,Phrase
in the end,ついに,Adverb
show up,暴露する - はっきり見えるようにする,Verb
turn something in,返す - 届ける,Verb
make an impression,～に感銘［感動・印象］を与える,Verb
find something out,自分［自力］で何かを見いだす,Verb
take a trip,旅行をする,Verb
roll out the red carpet,大歓迎する,Phrase
have the time of one's life,一生に一度の[この上なく]楽しい思いをする,Phrase
scold,叱る,Verb
ultimately,最終的に,Adverb
I can do it eyes closed,私はそれを目を閉じですることができます,Phrse
grow weaker,弱まる,Verb
patriotic,愛国心が強い,Adjective
Turn over a new leaf,改心する,Phrase
mandatory,必須,Adjective
representation,表現,Noun
